SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
9,Bhadra,2014,1,01-JAN-2014,65.78,2153.33,355,205,Bhadra_2014_101-JAN-2014
10,Bhadra,2014,1,02-JAN-2014,65.75,2153.31,192,343,Bhadra_2014_102-JAN-2014
11,Bhadra,2014,1,03-JAN-2014,65.58,2153.16,148,1168,Bhadra_2014_103-JAN-2014
12,Bhadra,2014,1,04-JAN-2014,65.58,2153.16,148,1168,Bhadra_2014_104-JAN-2014
13,Bhadra,2014,1,05-JAN-2014,65.40,2153.02,272,55,Bhadra_2014_105-JAN-2014
14,Bhadra,2014,1,06-JAN-2014,65.20,2152.85,281,2435,Bhadra_2014_106-JAN-2014
15,Bhadra,2014,1,07-JAN-2014,64.95,2152.64,42,2787,Bhadra_2014_107-JAN-2014
23,Bhadra,2011,1,01-JAN-2011,71.54,2158,1363,1206,Bhadra_2011_101-JAN-2011
24,Bhadra,2011,1,02-JAN-2011,71.54,2158,1563,1206,Bhadra_2011_102-JAN-2011
25,Bhadra,2011,1,03-JAN-2011,71.54,2158,1363,1206,Bhadra_2011_103-JAN-2011
26,Bhadra,2011,1,04-JAN-2011,71.54,2158,1363,1206,Bhadra_2011_104-JAN-2011
27,Bhadra,2011,1,05-JAN-2011,71.54,2158,785,628,Bhadra_2011_105-JAN-2011
28,Bhadra,2011,1,06-JAN-2011,71.54,2158,294,137,Bhadra_2011_106-JAN-2011
29,Bhadra,2011,1,07-JAN-2011,71.54,2158,1448,1291,Bhadra_2011_107-JAN-2011
107,Bhadra,2011,2,08-JAN-2011,71.48,2157.95,1528,1973,Bhadra_2011_208-JAN-2011
108,Bhadra,2011,2,09-JAN-2011,71.40,2157.89,1227,1985,Bhadra_2011_209-JAN-2011
109,Bhadra,2011,2,10-JAN-2011,71.27,2157.79,625,1985,Bhadra_2011_210-JAN-2011
110,Bhadra,2011,2,11-JAN-2011,71.17,2157.70,1038,2085,Bhadra_2011_211-JAN-2011
111,Bhadra,2011,2,12-JAN-2011,71.04,2157.60,725,2085,Bhadra_2011_212-JAN-2011
112,Bhadra,2011,2,13-JAN-2011,70.83,2157.43,290,2565,Bhadra_2011_213-JAN-2011
113,Bhadra,2011,2,14-JAN-2011,70.59,2157.25,321,2885,Bhadra_2011_214-JAN-2011
191,Bhadra,2011,3,15-JAN-2011,70.33,2157.04,208,3085,Bhadra_2011_315-JAN-2011
192,Bhadra,2011,3,16-JAN-2011,70.12,2156.87,833,3085,Bhadra_2011_316-JAN-2011
193,Bhadra,2011,3,17-JAN-2011,69.86,2156.66,242,3085,Bhadra_2011_317-JAN-2011
194,Bhadra,2011,3,18-JAN-2011,69.63,2156.47,543,3085,Bhadra_2011_318-JAN-2011
195,Bhadra,2011,3,19-JAN-2011,69.40,2156.29,542,3085,Bhadra_2011_319-JAN-2011
196,Bhadra,2011,3,20-JAN-2011,69.14,2156.08,241,3085,Bhadra_2011_320-JAN-2011
197,Bhadra,2011,3,21-JAN-2011,68.91,2155.89,553,3085,Bhadra_2011_321-JAN-2011
277,Bhadra,2011,4,22-JAN-2011,68.65,2155.68,264,3085,Bhadra_2011_422-JAN-2011
278,Bhadra,2011,4,23-JAN-2011,68.39,2155.47,263,3085,Bhadra_2011_423-JAN-2011
279,Bhadra,2011,4,24-JAN-2011,68.14,2155.27,275,3085,Bhadra_2011_424-JAN-2011
280,Bhadra,2011,4,25-JAN-2011,67.88,2155.08,263,3085,Bhadra_2011_425-JAN-2011
281,Bhadra,2011,4,26-JAN-2011,67.63,2154.85,286,3085,Bhadra_2011_426-JAN-2011
282,Bhadra,2011,4,27-JAN-2011,67.32,2154.60,102,3480,Bhadra_2011_427-JAN-2011
283,Bhadra,2011,4,28-JAN-2011,67.09,2154.41,586,3085,Bhadra_2011_428-JAN-2011
368,Bhadra,2011,5,29-JAN-2011,66.81,2154.18,52,3130,Bhadra_2011_529-JAN-2011
369,Bhadra,2011,5,30-JAN-2011,66.51,2153.93,51,3430,Bhadra_2011_530-JAN-2011
370,Bhadra,2011,5,31-JAN-2011,66.26,2153.72,330,3085,Bhadra_2011_531-JAN-2011
371,Bhadra,2011,5,01-FEB-2011,65.98,2153.50,29,3085,Bhadra_2011_501-FEB-2011
372,Bhadra,2011,5,02-FEB-2011,65.68,2153.25,51,3380,Bhadra_2011_502-FEB-2011
373,Bhadra,2011,5,03-FEB-2011,65.40,2153.02,153,3193,Bhadra_2011_503-FEB-2011
