SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
30,Ghataprabha,2011,1,2011-01-01,37.17,2156.51,0,4650,GHATAPRABHA-2011-01-01
31,Ghataprabha,2011,1,2011-01-02,36.86,2156.05,0,3619,GHATAPRABHA-2011-01-02
32,Ghataprabha,2011,1,2011-01-03,36.59,2155.66,0,3040,GHATAPRABHA-2011-01-03
33,Ghataprabha,2011,1,2011-01-04,36.32,2155.25,0,3192,GHATAPRABHA-2011-01-04
34,Ghataprabha,2011,1,2011-01-05,36.04,2154.83,0,3255,GHATAPRABHA-2011-01-05
35,Ghataprabha,2011,1,2011-01-06,35.72,2156.36,0,3617,GHATAPRABHA-2011-01-06
36,Ghataprabha,2011,1,2011-01-07,36.41,2153.88,0,3684,GHATAPRABHA-2011-01-07
114,Ghataprabha,2011,2,2011-01-08,35.12,2153.45,0,3272,GHATAPRABHA-2011-01-08
115,Ghataprabha,2011,2,2011-01-09,34.83,2153.01,0,3348,GHATAPRABHA-2011-01-09
116,Ghataprabha,2011,2,2011-01-10,34.55,2152.58,0,3237,GHATAPRABHA-2011-01-10
117,Ghataprabha,2011,2,2011-01-11,34.27,2152.15,0,3236,GHATAPRABHA-2011-01-11
118,Ghataprabha,2011,2,2011-01-12,34.02,2151.75,0,2988,GHATAPRABHA-2011-01-12
119,Ghataprabha,2011,2,2011-01-13,33.76,2151.35,0,2975,GHATAPRABHA-2011-01-13
120,Ghataprabha,2011,2,2011-01-14,33.49,2150.93,0,3118,GHATAPRABHA-2011-01-14
198,Ghataprabha,2011,3,2011-01-15,33.30,2150.63,0,2204,GHATAPRABHA-2011-01-15
199,Ghataprabha,2011,3,2011-01-16,33.14,2150.38,0,1837,GHATAPRABHA-2011-01-16
200,Ghataprabha,2011,3,2011-01-17,32.98,2150.13,0,1837,GHATAPRABHA-2011-01-17
201,Ghataprabha,2011,3,2011-01-18,32.81,2149.86,0,1970,GHATAPRABHA-2011-01-18
202,Ghataprabha,2011,3,2011-01-19,32.65,2149.60,0,1886,GHATAPRABHA-2011-01-19
203,Ghataprabha,2011,3,2011-01-20,32.46,2149.30,0,2176,GHATAPRABHA-2011-01-20
204,Ghataprabha,2011,3,2011-01-21,32.25,2148.96,0,2462,GHATAPRABHA-2011-01-21
284,Ghataprabha,2011,4,2011-01-22,32.03,2148.61,0,2506,GHATAPRABHA-2011-01-22
285,Ghataprabha,2011,4,2011-01-23,31.83,2148.28,0,2363,GHATAPRABHA-2011-01-23
286,Ghataprabha,2011,4,2011-01-24,31.44,2147.65,0,4478,GHATAPRABHA-2011-01-24
287,Ghataprabha,2011,4,2011-01-25,31.03,2146.98,0,4732,GHATAPRABHA-2011-01-25
288,Ghataprabha,2011,4,2011-01-26,30.55,2146.18,0,5569,GHATAPRABHA-2011-01-26
289,Ghataprabha,2011,4,2011-01-27,30.04,2145.33,0,5847,GHATAPRABHA-2011-01-27
290,Ghataprabha,2011,4,2011-01-28,29.57,2144.53,0,5437,GHATAPRABHA-2011-01-28
375,Ghataprabha,2011,5,2011-01-29,29.11,2143.73,0,5374,GHATAPRABHA-2011-01-29
376,Ghataprabha,2011,5,2011-01-30,28.67,2142.96,0,5115,GHATAPRABHA-2011-01-30
377,Ghataprabha,2011,5,2011-01-31,28.22,2142.16,0,5238,GHATAPRABHA-2011-01-31
378,Ghataprabha,2011,5,2011-02-01,27.78,2141.38,0,5048,GHATAPRABHA-2011-02-01
379,Ghataprabha,2011,5,2011-02-02,27.34,2140.58,0,5121,GHATAPRABHA-2011-02-02
380,Ghataprabha,2011,5,2011-02-03,26.87,2139.73,0,5382,GHATAPRABHA-2011-02-03
381,Ghataprabha,2011,5,2011-02-04,26.41,2138.88,0,5329,GHATAPRABHA-2011-02-04
466,Ghataprabha,2011,6,2011-02-05,25.94,2138.01,0,5407,GHATAPRABHA-2011-02-05
467,Ghataprabha,2011,6,2011-02-06,25.49,2137.15,0,5290,GHATAPRABHA-2011-02-06
468,Ghataprabha,2011,6,2011-02-07,25.03,2136.28,0,5310,GHATAPRABHA-2011-02-07
469,Ghataprabha,2011,6,2011-02-08,24.56,2135.38,0,5448,GHATAPRABHA-2011-02-08
470,Ghataprabha,2011,6,2011-02-09,24.09,2134.48,0,5399,GHATAPRABHA-2011-02-09
471,Ghataprabha,2011,6,2011-02-10,23.63,2133.58,0,5349,GHATAPRABHA-2011-02-10
472,Ghataprabha,2011,6,2011-02-11,23.17,2132.68,0,5301,GHATAPRABHA-2011-02-11
557,Ghataprabha,2011,7,2011-02-12,22.73,2131.81,0,5078,GHATAPRABHA-2011-02-12
558,Ghataprabha,2011,7,2011-02-13,22.31,2130.96,0,4931,GHATAPRABHA-2011-02-13
559,Ghataprabha,2011,7,2011-02-14,21.89,2130.11,0,4875,GHATAPRABHA-2011-02-14
560,Ghataprabha,2011,7,2011-02-15,21.45,2129.23,0,4993,GHATAPRABHA-2011-02-15
561,Ghataprabha,2011,7,2011-02-16,21.32,2128.96,0,1526,GHATAPRABHA-2011-02-16
562,Ghataprabha,2011,7,2011-02-17,21.31,2128.93,0,167,GHATAPRABHA-2011-02-17
563,Ghataprabha,2011,7,2011-02-18,20.88,2128.66,0,1503,GHATAPRABHA-2011-02-18
648,Ghataprabha,2011,8,2011-02-19,21.09,2128.48,0,1006,GHATAPRABHA-2011-02-19
649,Ghataprabha,2011,8,2011-02-20,21.08,2128.45,0,167,GHATAPRABHA-2011-02-20
650,Ghataprabha,2011,8,2011-02-21,21.07,2128.43,0,112,GHATAPRABHA-2011-02-21
651,Ghataprabha,2011,8,2011-02-22,21.05,2128.40,0,168,GHATAPRABHA-2011-02-22
652,Ghataprabha,2011,8,2011-02-23,21.04,2128.38,0,112,GHATAPRABHA-2011-02-23
653,Ghataprabha,2011,8,2011-02-24,21.03,2128.35,0,168,GHATAPRABHA-2011-02-24
654,Ghataprabha,2011,8,2011-02-25,21.02,2128.33,0,112,GHATAPRABHA-2011-02-25
739,Ghataprabha,2011,9,2011-02-26,20.85,2127.98,0,1955,GHATAPRABHA-2011-02-26
740,Ghataprabha,2011,9,2011-02-27,20.60,2127.45,0,2926,GHATAPRABHA-2011-02-27
741,Ghataprabha,2011,9,2011-02-28,20.34,2126.91,0,2976,GHATAPRABHA-2011-02-28
742,Ghataprabha,2011,9,2011-03-01,19.56,2125.26,0,2976,GHATAPRABHA-2011-03-01
743,Ghataprabha,2011,9,2011-03-02,19.82,2125.81,0,2991,GHATAPRABHA-2011-03-02
744,Ghataprabha,2011,9,2011-03-03,19.56,2125.26,0,2976,GHATAPRABHA-2011-03-03
745,Ghataprabha,2011,9,2011-03-04,19.31,2124.71,0,3150,GHATAPRABHA-2011-03-04
830,Ghataprabha,2011,10,2011-03-05,19.07,2124.18,0,2826,GHATAPRABHA-2011-03-05
831,Ghataprabha,2011,10,2011-03-06,18.80,2123.60,0,2994,GHATAPRABHA-2011-03-06
