SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
37,Harangi,2011,1,01-JAN-2011,3.74,2835.90,142,0,Harangi_2011_101-JAN-2011
38,Harangi,2011,1,02-JAN-2011,3.76,2836.09,239,0,Harangi_2011_102-JAN-2011
39,Harangi,2011,1,03-JAN-2011,3.77,2836.22,166,0,Harangi_2011_103-JAN-2011
40,Harangi,2011,1,04-JAN-2011,3.78,2836.31,118,0,Harangi_2011_104-JAN-2011
41,Harangi,2011,1,05-JAN-2011,3.79,2836.41,130,0,Harangi_2011_105-JAN-2011
42,Harangi,2011,1,06-JAN-2011,3.81,2836.54,167,0,Harangi_2011_106-JAN-2011
43,Harangi,2011,1,07-JAN-2011,3.82,2836.63,118,0,Harangi_2011_107-JAN-2011
121,Harangi,2011,2,08-JAN-2011,3.83,2836.73,131,0,Harangi_2011_208-JAN-2011
122,Harangi,2011,2,09-JAN-2011,3.84,2836.81,112,0,Harangi_2011_209-JAN-2011
123,Harangi,2011,2,10-JAN-2011,3.85,2836.93,160,0,Harangi_2011_210-JAN-2011
124,Harangi,2011,2,11-JAN-2011,3.86,2837.06,172,0,Harangi_2011_211-JAN-2011
125,Harangi,2011,2,12-JAN-2011,3.88,2837.23,100,0,Harangi_2011_212-JAN-2011
126,Harangi,2011,2,13-JAN-2011,3.88,2837.23,100,0,Harangi_2011_213-JAN-2011
127,Harangi,2011,2,14-JAN-2011,3.89,2837.30,100,0,Harangi_2011_214-JAN-2011
205,Harangi,2011,3,15-JAN-2011,3.89,2837.37,100,0,Harangi_2011_315-JAN-2011
206,Harangi,2011,3,16-JAN-2011,3.90,2837.45,112,0,Harangi_2011_316-JAN-2011
207,Harangi,2011,3,17-JAN-2011,3.91,2837.52,100,0,Harangi_2011_317-JAN-2011
208,Harangi,2011,3,18-JAN-2011,3.92,2837.61,124,0,Harangi_2011_318-JAN-2011
209,Harangi,2011,3,19-JAN-2011,3.93,2837.68,100,0,Harangi_2011_319-JAN-2011
210,Harangi,2011,3,20-JAN-2011,3.93,2837.76,112,0,Harangi_2011_320-JAN-2011
211,Harangi,2011,3,21-JAN-2011,3.94,2837.83,100,0,Harangi_2011_321-JAN-2011
291,Harangi,2011,4,22-JAN-2011,3.95,2837.87,64,0,Harangi_2011_422-JAN-2011
292,Harangi,2011,4,23-JAN-2011,3.95,2837.94,100,0,Harangi_2011_423-JAN-2011
293,Harangi,2011,4,24-JAN-2011,3.96,2838.01,100,0,Harangi_2011_424-JAN-2011
294,Harangi,2011,4,25-JAN-2011,3.97,2838.06,76,0,Harangi_2011_425-JAN-2011
295,Harangi,2011,4,26-JAN-2011,3.98,2838.16,74,0,Harangi_2011_426-JAN-2011
296,Harangi,2011,4,27-JAN-2011,3.98,2838.16,74,0,Harangi_2011_427-JAN-2011
297,Harangi,2011,4,28-JAN-2011,3.98,2838.20,64,0,Harangi_2011_428-JAN-2011
382,Harangi,2011,5,29-JAN-2011,3.99,2838.27,100,0,Harangi_2011_529-JAN-2011
383,Harangi,2011,5,30-JAN-2011,3.99,2838.32,76,0,Harangi_2011_530-JAN-2011
384,Harangi,2011,5,31-JAN-2011,4,2838.36,64,0,Harangi_2011_531-JAN-2011
385,Harangi,2011,5,01-FEB-2011,4,2838.40,64,0,Harangi_2011_501-FEB-2011
386,Harangi,2011,5,02-FEB-2011,4,2838.44,64,0,Harangi_2011_502-FEB-2011
387,Harangi,2011,5,03-FEB-2011,4.01,2838.48,64,0,Harangi_2011_503-FEB-2011
388,Harangi,2011,5,04-FEB-2011,4.01,2838.51,52,0,Harangi_2011_504-FEB-2011
473,Harangi,2011,6,05-FEB-2011,4.02,2838.55,64,0,Harangi_2011_605-FEB-2011
474,Harangi,2011,6,06-FEB-2011,4.02,2838.58,52,0,Harangi_2011_606-FEB-2011
475,Harangi,2011,6,07-FEB-2011,4.02,2838.61,52,0,Harangi_2011_607-FEB-2011
476,Harangi,2011,6,08-FEB-2011,4.03,2838.65,64,0,Harangi_2011_608-FEB-2011
477,Harangi,2011,6,09-FEB-2011,4.03,2838.69,64,0,Harangi_2011_609-FEB-2011
478,Harangi,2011,6,10-FEB-2011,4.03,2838.72,52,0,Harangi_2011_610-FEB-2011
479,Harangi,2011,6,11-FEB-2011,4.04,2838.74,40,0,Harangi_2011_611-FEB-2011
