SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
65,Malaprabha,2011,1,01-JAN-2011,24.42,2068.60,0,2946,Malaprabha_2011_101-JAN-2011
66,Malaprabha,2011,1,02-JAN-2011,24.15,2068.34,0,3169,Malaprabha_2011_102-JAN-2011
67,Malaprabha,2011,1,03-JAN-2011,23.89,2068.08,0,3169,Malaprabha_2011_103-JAN-2011
68,Malaprabha,2011,1,04-JAN-2011,23.66,2067.86,0,2635,Malaprabha_2011_104-JAN-2011
69,Malaprabha,2011,1,05-JAN-2011,23.41,2067.61,0,2987,Malaprabha_2011_105-JAN-2011
70,Malaprabha,2011,1,06-JAN-2011,23.14,2067.34,199,3179,Malaprabha_2011_106-JAN-2011
71,Malaprabha,2011,1,07-JAN-2011,22.86,2067.05,0,3384,Malaprabha_2011_107-JAN-2011
149,Malaprabha,2011,2,08-JAN-2011,22.53,2066.75,0,3379,Malaprabha_2011_208-JAN-2011
150,Malaprabha,2011,2,09-JAN-2011,22.28,2066.46,0,3279,Malaprabha_2011_209-JAN-2011
151,Malaprabha,2011,2,10-JAN-2011,22,2066.17,0,3279,Malaprabha_2011_210-JAN-2011
152,Malaprabha,2011,2,11-JAN-2011,21.77,2065.93,0,2729,Malaprabha_2011_211-JAN-2011
153,Malaprabha,2011,2,12-JAN-2011,21.63,2065.78,0,1699,Malaprabha_2011_212-JAN-2011
154,Malaprabha,2011,2,13-JAN-2011,21.44,2065.58,0,2241,Malaprabha_2011_213-JAN-2011
155,Malaprabha,2011,2,14-JAN-2011,21.26,2065.39,0,2065,Malaprabha_2011_214-JAN-2011
235,Malaprabha,2011,3,15-JAN-2011,21.10,2065.22,0,1857,Malaprabha_2011_315-JAN-2011
236,Malaprabha,2011,3,16-JAN-2011,20.94,2065.05,0,2057,Malaprabha_2011_316-JAN-2011
237,Malaprabha,2011,3,17-JAN-2011,20.75,2064.84,0,2266,Malaprabha_2011_317-JAN-2011
238,Malaprabha,2011,3,18-JAN-2011,20.54,2064.61,0,2441,Malaprabha_2011_318-JAN-2011
239,Malaprabha,2011,3,19-JAN-2011,20.30,2064.35,0,2766,Malaprabha_2011_319-JAN-2011
240,Malaprabha,2011,3,20-JAN-2011,20.04,2064.06,0,3019,Malaprabha_2011_320-JAN-2011
