SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
4725,Alamatti,2012,1,01-JAN-2012,61.92,1689.29,0,8221,Alamatti_2012_101-JAN-2012
4726,Bhadra,2012,1,01-JAN-2012,70.12,2156.87,499,55,Bhadra_2012_101-JAN-2012
4727,Ghataprabha,2012,1,01-JAN-2012,25.56,2137.28,0,5361,Ghataprabha_2012_101-JAN-2012
4728,Harangi,2012,1,01-JAN-2012,1.76,2808.74,66,630,Harangi_2012_101-JAN-2012
4729,Hemavathi,2012,1,01-JAN-2012,12.48,2886.90,111,4488,Hemavathi_2012_101-JAN-2012
4730,K.R.S,2012,1,01-JAN-2012,40.97,118.33,4924,2488,K.R.S_2012_101-JAN-2012
4731,Kabini,2012,1,01-JAN-2012,11.71,2270.06,520,50,Kabini_2012_101-JAN-2012
4732,Linganamakki,2012,1,01-JAN-2012,113.16,1806.50,0,0,Linganamakki_2012_101-JAN-2012
4733,Malaprabha,2012,1,01-JAN-2012,16.87,2060.37,0,3434,Malaprabha_2012_101-JAN-2012
4734,Narayanapura,2012,1,01-JAN-2012,30.30,1612.82,7530,7895,Narayanapura_2012_101-JAN-2012
4735,Supa,2012,1,01-JAN-2012,87.14,1799.67,400,0,Supa_2012_101-JAN-2012
4736,Tungabhadra,2012,1,01-JAN-2012,52.78,1617.92,0,6060,Tungabhadra_2012_101-JAN-2012
4737,Varahi,2012,1,01-JAN-2012,17.83,1923.75,43,0,Varahi_2012_101-JAN-2012
